Tm_C,GC_percent
86.334,54.20
84.865,53.51
84.721,53.33
83.782,49.57
86.215,53.35
86.387,54.13
86.407,53.98
85.958,53.49
86.621,54.42
84.859,50.24
84.452,50.52
86.764,54.75
83.740,49.56
85.559,51.97
85.544,53.20
84.513,50.69
81.955,46.93
85.754,51.65
73.800,29.22
80.340,42.56
78.259,41.03
80.283,46.67
81.801,47.25
80.956,47.47
81.939,43.02
84.080,52.38
84.143,52.90
78.793,37.47
84.720,51.57
86.027,54.17
81.815,48.29
81.457,48.96
86.071,53.49
84.151,51.99
85.832,52.63
85.401,51.34
85.402,52.58
84.874,54.81
80.953,41.71
84.257,50.50
84.393,51.41
75.774,35.52
87.797,57.73
88.112,57.19
85.985,52.12
86.329,54.08
86.703,54.72
86.503,54.70
86.120,55.14
87.638,58.91
83.652,53.15
86.607,57.33
84.420,52.00
85.278,53.05
82.405,51.01
83.943,48.40
85.183,51.22
83.874,48.51
85.624,53.51
85.756,54.02
84.738,50.36
80.488,41.97
80.726,42.82
80.994,41.78
80.503,41.67
84.063,50.33
80.480,42.94
80.871,44.23
84.597,51.12
85.138,50.47
82.480,44.30
84.910,49.90
87.089,54.77
82.799,50.88
83.764,50.40
85.802,52.77
84.428,49.19
82.733,46.35
84.607,50.97
74.444,37.72
85.768,52.37
80.904,45.49
81.823,47.97
86.028,53.10
83.137,47.42
83.915,48.92
87.199,55.75
84.141,49.74
85.244,52.16
86.577,54.65
86.295,53.26
82.946,47.96
83.801,51.70
85.309,52.27
85.109,53.24
84.898,52.84
86.315,54.60
85.554,51.74
88.358,59.39
86.187,54.02
85.695,53.08
86.503,54.19
86.642,54.78
85.738,51.82
85.079,50.94
87.569,55.81
85.466,51.88
83.793,48.72
83.871,49.43
83.170,54.02
85.598,52.07
86.669,54.82
86.658,54.84
85.012,51.29
81.600,47.68
86.144,53.14
84.769,50.49
84.880,50.34
85.881,53.74
86.625,54.63
85.068,51.25
85.930,52.44
85.054,49.91
83.867,50.83
83.614,50.00
86.903,56.23
85.799,52.97
86.061,53.22
83.062,47.33
85.810,52.26
85.441,53.15
84.430,50.00
81.671,47.29
86.021,53.23
87.184,54.82
84.313,48.88
86.580,54.25
86.541,55.13
85.467,51.49
86.054,53.40
85.078,51.22
85.245,51.19
84.731,50.44
82.873,45.31
81.685,47.04
82.790,48.41
80.755,41.86
82.567,50.22
80.934,42.56
80.406,42.90
84.970,52.82
86.646,54.62
86.567,56.74
85.688,53.00
84.438,52.83
84.728,53.80
82.117,47.17
81.086,44.65
83.953,50.23
78.254,41.15
83.834,48.98
77.995,47.62
83.290,52.58
86.319,53.81
84.529,52.27
83.681,47.81
83.458,56.46
83.090,54.17
86.786,54.23
80.255,46.45
85.026,55.19
83.983,54.17
82.196,46.96
86.055,54.68
82.705,46.32
80.111,48.30
86.060,55.13
86.200,59.90
80.487,45.33
76.396,39.72
76.533,46.67
86.356,56.83
86.239,54.96
88.201,57.82
89.156,60.01
85.130,56.76
87.506,55.80
85.530,55.35
86.806,58.12
87.054,57.72
87.543,60.00
85.802,53.28
86.607,57.33
85.310,57.62
88.182,57.29
86.543,57.60
87.748,58.08
79.135,41.18
82.277,44.25
87.819,58.13
82.432,51.61
73.344,38.89
79.152,35.46
77.705,31.72
79.618,39.56
86.646,54.86
82.246,52.47
78.349,38.77
80.931,40.31
84.809,50.46
85.149,50.84
84.800,49.88
86.333,53.74
85.485,51.54
83.280,47.04
83.233,53.03
78.465,41.94
78.895,42.71
78.151,39.09
82.330,48.00
86.573,53.63
82.396,49.21
87.299,58.64
84.655,54.21
79.940,44.00
85.136,50.78
86.547,55.67
87.685,56.97
86.009,56.34
83.748,51.52
85.961,55.10
85.634,55.18
86.104,52.71
84.024,52.48
85.317,50.92
83.297,47.32
85.969,52.59
87.286,57.17
86.179,53.39
84.116,50.43
84.807,51.07
84.975,50.28
82.101,43.39
81.427,47.26
83.066,46.30
85.665,52.99
83.240,50.17
79.987,41.74
79.038,35.56
84.189,50.66
80.613,47.95
83.855,51.89
85.065,53.72
79.595,47.52
83.352,47.39
82.926,49.35
83.942,49.90
84.294,50.87
84.288,56.28
80.454,43.54
76.426,32.12
77.881,39.61
85.215,52.56
86.795,54.26
84.021,54.59
88.510,58.61
89.299,60.76
87.374,59.76
87.340,56.34
86.534,56.89
86.736,57.91
86.323,55.09
85.456,54.29
87.947,58.43
85.500,54.14
86.440,56.32
88.576,58.39
86.461,57.58
86.810,55.79
88.295,59.27
87.907,58.99
87.728,56.16
86.598,55.67
87.081,54.66
83.113,47.25
81.720,42.87
79.823,39.64
79.102,37.92
80.703,47.54
80.561,40.66
81.948,48.19
84.328,51.71
86.995,58.62
88.438,58.48
81.729,42.15
81.985,43.40
81.898,44.27
85.028,54.13
86.256,53.94
80.031,43.07
84.444,49.69
84.784,50.86
80.404,42.28
80.865,43.03
80.768,49.06
80.594,43.88
85.371,52.42
82.743,47.20
81.153,41.45
83.110,48.33
85.240,50.91
85.094,52.35
86.026,52.59
85.032,51.39
84.893,49.84
87.390,56.12
87.851,57.52
86.109,52.68
85.715,52.57
85.034,51.80
85.933,53.15
84.402,52.60
84.441,54.12
85.110,50.13
85.546,52.28
85.847,53.64
86.158,54.02
86.363,54.03
86.203,53.57
74.800,32.34
85.724,51.92
85.141,50.53
85.791,53.55
86.014,53.03
85.232,51.10
84.351,50.26
84.230,53.05
86.988,54.87
85.866,52.76
86.100,53.64
84.844,51.28
86.478,53.94
85.969,52.91
86.950,55.76
82.483,47.07
83.251,46.79
85.306,51.70
81.807,56.48
82.567,58.33
84.359,48.96
80.792,45.89
86.513,55.00
84.188,51.69
85.143,50.52
85.150,51.92
